The Occupation title (click on the occupation title to view its profile),عنوان الاحتلال (انقر على عنوان الاحتلال لعرض ملفه الشخصي),El título de la ocupación (haga clic en el título de la ocupación para ver su perfil)
The All Occupation,كل الاحتلال,La ocupación de todos
The Management Occupation,مهنة الإدارة,La ocupación de gestión
The Top Executive,أعلى تنفيذي,El Alto Ejecutivo
The Chief Executive,الرئيس التنفيذي,El Director Ejecutivo
The Legislator,المشرع,El legislador
The Marketing Manager,مدير التسويق,El Gerente de Marketing
The Sales Manager,مدير المبيعات,El Gerente de Ventas
The Public Relations Manager,مدير العلاقات العامة,El Gerente de Relaciones Públicas
The Fundraising Manager,مدير جمع التبرعات,El Gerente de Recaudación de Fondos
The Operations Specialties Manager,مدير تخصصات العمليات,El Gerente de Especialidades de Operaciones
The Administrative Services Manager,مدير الخدمات الإدارية,El Gerente de Servicios Administrativos
The Facilities Manager,مدير المرافق,El Gerente de Instalaciones
The Financial Manager,المدير المالي,El Gerente Financiero
The Industrial Production Manager,مدير الإنتاج الصناعي,El Gerente de Producción Industrial
The Purchasing Manager,مدير المشتريات,El Gerente de Compras
The Human Resources Manager,مدير الموارد البشرية,El Gerente de Recursos Humanos
The Other Management Occupation,مهنة الإدارة الأخرى,La otra ocupación de gestión
The Construction Manager,مدير الإنشاءات,El Gerente de Construcción
The Food Service Manager,مدير الخدمات الغذائية,El Gerente de Servicio de Alimentos
The Gambling Manager,مدير المقامرة,El gerente de juegos de azar
The Lodging Manager,مدير السكن,El Gerente de Alojamiento
The Natural Sciences Manager,مدير العلوم الطبيعية,El Gerente de Ciencias Naturales
The Emergency Management Director,مدير إدارة الطوارئ,El Director de Manejo de Emergencias
The Personal Service Manager,مدير الخدمة الشخصية,El Gerente de Servicio Personal
The Funeral Home Manager,مدير بيت الجنازة,El gerente de la funeraria
The Business Operations Specialist,أخصائي العمليات التجارية,El especialista en operaciones comerciales
The Compliance Officer,مسؤول الامتثال,El Oficial de Cumplimiento
The Cost Estimator,مقدر التكلفة,El estimador de costos
The Human Resources Worker,عامل الموارد البشرية,El trabajador de recursos humanos
The Human Resources Specialist,أخصائي الموارد البشرية,El Especialista en Recursos Humanos
The Farm Labor Contractor,مقاول العمل الزراعي,El contratista de mano de obra agrícola
The Labor Relations Specialist,أخصائي علاقات العمل,El Especialista en Relaciones Laborales
The Logistician,اللوجستي,El Logista
The Project Management Specialist,أخصائي إدارة المشاريع,El especialista en gestión de proyectos
The Management Analyst,المحلل الإداري,El Analista de Gestión
The Fundraiser,جمع التبرعات,La recaudación de fondos
The Financial Specialist,الأخصائي المالي,El Especialista Financiero
The Budget Analyst,محلل الميزانية,El Analista de Presupuesto
The Credit Analyst,محلل الائتمان,El analista de crédito
The Personal Financial Advisor,المستشار المالي الشخصي,El Asesor Financiero Personal
The Insurance Underwriter,مكتتب التأمين,El suscriptor de seguros
The Financial Risk Specialist,أخصائي المخاطر المالية,El especialista en riesgos financieros
The Financial Examiner,الفاحص المالي,El examinador financiero
The Credit Counselor,مستشار الائتمان,El Consejero de Crédito
The Loan Officer,موظف القروض,El Oficial de Préstamos
The Tax Preparer,معد الضرائب,El preparador de impuestos
The Computer Occupation,مهنة الكمبيوتر,La ocupación informática
The Computer Systems Analyst,محلل نظم الكمبيوتر,El Analista de Sistemas Computacionales
The Information Security Analyst,محلل أمن المعلومات,El Analista de Seguridad de la Información
The Computer Support Specialist,أخصائي دعم الكمبيوتر,El especialista en soporte informático
The Computer Network Support Specialist,أخصائي دعم شبكات الكمبيوتر,El especialista en soporte de redes informáticas
The Computer User Support Specialist,أخصائي دعم مستخدمي الكمبيوتر,El especialista en soporte al usuario de computadoras
The Computer Network Architect,مهندس شبكات الكمبيوتر,El arquitecto de redes informáticas
The Database Administrator,مدير قاعدة البيانات,El administrador de la base de datos
The Database Architect,مهندس قاعدة البيانات,El arquitecto de bases de datos
The Computer Programmer,مبرمج الكمبيوتر,El programador informático
The Software Developer,مطور البرامج,El desarrollador de software
The Web Developer,مطور الويب,El desarrollador web
The Mathematical Science Occupation,مهنة العلوم الرياضية,La ocupación de la ciencia matemática
The Actuarie,الاكتوارية,El actuario
The Mathematician,عالم الرياضيات,El matemático
The Operations Research Analyst,محلل بحوث العمليات,El Analista de Investigación de Operaciones
The Statistician,الإحصائي,El estadístico
The Data Scientist,عالم البيانات,El científico de datos
The Surveyor,المساح,El Topógrafo
The Engineer,المهندس,El Ingeniero
The Aerospace Engineer,مهندس الفضاء الجوي,El Ingeniero Aeroespacial
The Agricultural Engineer,المهندس الزراعي,El Ingeniero Agrónomo
The Chemical Engineer,المهندس الكيميائي,El Ingeniero Químico
The Civil Engineer,المهندس المدني,El Ingeniero Civil
The Computer Hardware Engineer,مهندس أجهزة الكمبيوتر,El ingeniero de hardware informático
The Electrical Engineer,المهندس الكهربائي,El Ingeniero Eléctrico
The Environmental Engineer,مهندس البيئة,El Ingeniero Ambiental
The Industrial Engineer,المهندس الصناعي,El Ingeniero Industrial
The Materials Engineer,مهندس المواد,El Ingeniero de Materiales
The Mechanical Engineer,المهندس الميكانيكي,El Ingeniero Mecánico
The Nuclear Engineer,المهندس النووي,El ingeniero nuclear
The Petroleum Engineer,مهندس البترول,El Ingeniero de Petróleo
The Drafter,الصائغ,El Dibujante
The Mechanical Drafter,الصائغ الميكانيكي,El dibujante mecánico
The Life Scientist,عالم الحياة,El científico de la vida
The Animal Scientist,عالم الحيوان,El científico animal
The Biological Scientist,العالم البيولوجي,El científico biológico
The Microbiologist,عالم الأحياء الدقيقة,El Microbiólogo
The Conservation Scientist,عالم الحفظ,El científico de la conservación
The Forester,ذا فورستر,El Guardabosques
The Medical Scientist,عالم الطب,El científico médico
The Epidemiologist,عالم الأوبئة,El epidemiólogo
