The Occupation title (click on the occupation title to view its profile),El título de la ocupación (haga clic en el título de la ocupación para ver su perfil)
The All Occupation,Toda la ocupación
The Management Occupation,La ocupación gerencial
The Top Executive,El máximo ejecutivo
The Chief Executive,El director ejecutivo
The Legislator,El legislador
The Marketing Manager,El gerente de marketing
The Sales Manager,El gerente de ventas
The Public Relations Manager,El gerente de relaciones públicas
The Fundraising Manager,El gerente de recaudación de fondos
The Operations Specialties Manager,El gerente de especialidades de operaciones
The Administrative Services Manager,El gerente de servicios administrativos
The Facilities Manager,El gerente de instalaciones
The Financial Manager,El gerente financiero
The Industrial Production Manager,El gerente de producción industrial
The Purchasing Manager,El gerente de compras
The Human Resources Manager,El gerente de recursos humanos
The Other Management Occupation,La otra ocupación gerencial
The Construction Manager,El gerente de construcción
The Food Service Manager,El gerente de servicio de alimentos
The Gambling Manager,El administrador de juegos de azar
The Lodging Manager,El administrador del alojamiento
The Natural Sciences Manager,El gerente de Ciencias Naturales
The Emergency Management Director,El director de gestión de emergencias
The Personal Service Manager,El gerente de servicios personales
The Funeral Home Manager,El gerente de la funeraria
The Business Operations Specialist,El especialista en operaciones comerciales
The Compliance Officer,El oficial de cumplimiento
The Cost Estimator,El estimador de costos
The Human Resources Worker,El trabajador de recursos humanos
The Human Resources Specialist,El especialista en recursos humanos
The Farm Labor Contractor,El contratista de mano de obra agrícola
The Labor Relations Specialist,El especialista en relaciones laborales
The Logistician,El logista
The Project Management Specialist,El especialista en gestión de proyectos
The Management Analyst,El analista de gestión
The Fundraiser,La recaudación de fondos
The Financial Specialist,El especialista financiero
The Budget Analyst,El analista de presupuesto
The Credit Analyst,El analista de crédito
The Personal Financial Advisor,El asesor financiero personal
The Insurance Underwriter,El asegurador de seguros
The Financial Risk Specialist,El especialista en riesgos financieros
The Financial Examiner,El examinador financiero
The Credit Counselor,El consejero de crédito
The Loan Officer,El oficial de préstamos
The Tax Preparer,El preparador de impuestos
The Computer Occupation,La ocupación informática
The Computer Systems Analyst,El analista de sistemas informáticos
The Information Security Analyst,El analista de seguridad de la información
The Computer Support Specialist,El especialista en soporte informático
The Computer Network Support Specialist,El especialista en soporte de redes informáticas
The Computer User Support Specialist,El especialista en soporte para usuarios de computadoras
The Computer Network Architect,El arquitecto de redes informáticas
The Database Administrator,El administrador de bases de datos
The Database Architect,El arquitecto de bases de datos
The Computer Programmer,El programador de computadoras
The Software Developer,El desarrollador de software
The Web Developer,El desarrollador web
The Mathematical Science Occupation,La ocupación de las ciencias matemáticas
The Actuarie,El Actuario
The Mathematician,El matemático
The Operations Research Analyst,El analista de investigación de operaciones
The Statistician,El estadístico
The Data Scientist,El científico de datos
The Surveyor,El topógrafo
The Engineer,El ingeniero
The Aerospace Engineer,El ingeniero aeroespacial
The Agricultural Engineer,El ingeniero agrónomo
The Chemical Engineer,El ingeniero químico
The Civil Engineer,El ingeniero civil
The Computer Hardware Engineer,El ingeniero de hardware informático
The Electrical Engineer,El ingeniero eléctrico
The Environmental Engineer,El ingeniero ambiental
The Industrial Engineer,El ingeniero industrial
The Materials Engineer,El ingeniero de materiales
