The Occupation title (click on the occupation title to view its profile),عنوان الاحتلال (انقر على عنوان الاحتلال لعرض ملفه الشخصي),ar_val,El título de la ocupación (haga clic en el título de la ocupación para ver su perfil),sp_val
The All Occupation,كل الاحتلال,,La ocupación de todos,
The Management Occupation,مهنة الإدارة,,La ocupación de gestión,
The Top Executive,أعلى تنفيذي,m,El Alto Ejecutivo,m
The Chief Executive,الرئيس التنفيذي,m,El Director Ejecutivo,m
The Legislator,المشرع,m,El legislador,m
The Marketing Manager,مدير التسويق,m,El Gerente de Marketing,m
The Sales Manager,مدير المبيعات,m,El Gerente de Ventas,m
The Public Relations Manager,مدير العلاقات العامة,m,El Gerente de Relaciones Públicas,m
The Fundraising Manager,مدير جمع التبرعات,m,El Gerente de Recaudación de Fondos,m
The Operations Specialties Manager,مدير تخصصات العمليات,m,El Gerente de Especialidades de Operaciones,m
The Administrative Services Manager,مدير الخدمات الإدارية,m,El Gerente de Servicios Administrativos,m
The Facilities Manager,مدير المرافق,m,El Gerente de Instalaciones,m
The Financial Manager,المدير المالي,m,El Gerente Financiero,m
The Industrial Production Manager,مدير الإنتاج الصناعي,m,El Gerente de Producción Industrial,m
The Purchasing Manager,مدير المشتريات,m,El Gerente de Compras,m
The Human Resources Manager,مدير الموارد البشرية,m,El Gerente de Recursos Humanos,m
The Other Management Occupation,مهنة الإدارة الأخرى,,La otra ocupación de gestión,
The Construction Manager,مدير الإنشاءات,m,El Gerente de Construcción,m
The Food Service Manager,مدير الخدمات الغذائية,m,El Gerente de Servicio de Alimentos,m
The Gambling Manager,مدير المقامرة,m,El gerente de juegos de azar,m
The Lodging Manager,مدير السكن,m,El Gerente de Alojamiento,m
The Natural Sciences Manager,مدير العلوم الطبيعية,m,El Gerente de Ciencias Naturales,m
The Emergency Management Director,مدير إدارة الطوارئ,m,El Director de Manejo de Emergencias,m
The Personal Service Manager,مدير الخدمة الشخصية,m,El Gerente de Servicio Personal,m
The Funeral Home Manager,مدير بيت الجنازة,m,El gerente de la funeraria,m
The Business Operations Specialist,أخصائي العمليات التجارية,m,El especialista en operaciones comerciales,m
The Compliance Officer,مسؤول الامتثال,m,El Oficial de Cumplimiento,m
The Cost Estimator,مقدر التكلفة,m,El estimador de costos,m
The Human Resources Worker,عامل الموارد البشرية,m,El trabajador de recursos humanos,m
The Human Resources Specialist,أخصائي الموارد البشرية,m,El Especialista en Recursos Humanos,m
The Farm Labor Contractor,مقاول العمل الزراعي,m,El contratista de mano de obra agrícola,m
The Labor Relations Specialist,أخصائي علاقات العمل,m,El Especialista en Relaciones Laborales,m
The Logistician,اللوجستي,m,El Logista,m
The Project Management Specialist,أخصائي إدارة المشاريع,m,El especialista en gestión de proyectos,m
The Management Analyst,المحلل الإداري,m,El Analista de Gestión,m
The Fundraiser,جمع التبرعات,m,La recaudación de fondos,f
The Financial Specialist,الأخصائي المالي,m,El Especialista Financiero,m
The Budget Analyst,محلل الميزانية,m,El Analista de Presupuesto,m
The Credit Analyst,محلل الائتمان,m,El analista de crédito,m
The Personal Financial Advisor,المستشار المالي الشخصي,m,El Asesor Financiero Personal,m
The Insurance Underwriter,مكتتب التأمين,m,El suscriptor de seguros,m
The Financial Risk Specialist,أخصائي المخاطر المالية,m,El especialista en riesgos financieros,m
The Financial Examiner,الفاحص المالي,m,El examinador financiero,m
The Credit Counselor,مستشار الائتمان,m,El Consejero de Crédito,m
The Loan Officer,موظف القروض,m,El Oficial de Préstamos,m
The Tax Preparer,معد الضرائب,m,El preparador de impuestos,m
The Computer Occupation,مهنة الكمبيوتر,,La ocupación informática,
The Computer Systems Analyst,محلل نظم الكمبيوتر,m,El Analista de Sistemas Computacionales,m
The Information Security Analyst,محلل أمن المعلومات,m,El Analista de Seguridad de la Información,m
The Computer Support Specialist,أخصائي دعم الكمبيوتر,m,El especialista en soporte informático,m
The Computer Network Support Specialist,أخصائي دعم شبكات الكمبيوتر,m,El especialista en soporte de redes informáticas,m
The Computer User Support Specialist,أخصائي دعم مستخدمي الكمبيوتر,m,El especialista en soporte al usuario de computadoras,m
The Computer Network Architect,مهندس شبكات الكمبيوتر,m,El arquitecto de redes informáticas,m
The Database Administrator,مدير قاعدة البيانات,m,El administrador de la base de datos,m
The Database Architect,مهندس قاعدة البيانات,m,El arquitecto de bases de datos,m
The Computer Programmer,مبرمج الكمبيوتر,m,El programador informático,m
The Software Developer,مطور البرامج,m,El desarrollador de software,m
The Web Developer,مطور الويب,m,El desarrollador web,m
The Mathematical Science Occupation,مهنة العلوم الرياضية,,La ocupación de la ciencia matemática,
The Actuarie,الاكتوارية,f,El actuario,m
The Mathematician,عالم الرياضيات,m,El matemático,m
The Operations Research Analyst,محلل بحوث العمليات,m,El Analista de Investigación de Operaciones,m
The Statistician,الإحصائي,m,El estadístico,m
The Data Scientist,عالم البيانات,m,El científico de datos,m
The Surveyor,المساح,m,El Topógrafo,m
The Engineer,المهندس,m,El Ingeniero,m
The Aerospace Engineer,مهندس الفضاء الجوي,m,El Ingeniero Aeroespacial,m
The Agricultural Engineer,المهندس الزراعي,m,El Ingeniero Agrónomo,m
The Chemical Engineer,المهندس الكيميائي,m,El Ingeniero Químico,m
The Civil Engineer,المهندس المدني,m,El Ingeniero Civil,m
The Computer Hardware Engineer,مهندس أجهزة الكمبيوتر,m,El ingeniero de hardware informático,m
The Electrical Engineer,المهندس الكهربائي,m,El Ingeniero Eléctrico,m
The Environmental Engineer,مهندس البيئة,m,El Ingeniero Ambiental,m
The Industrial Engineer,المهندس الصناعي,m,El Ingeniero Industrial,m
The Materials Engineer,مهندس المواد,m,El Ingeniero de Materiales,m
The Mechanical Engineer,المهندس الميكانيكي,m,El Ingeniero Mecánico,m
The Nuclear Engineer,المهندس النووي,m,El ingeniero nuclear,m
The Petroleum Engineer,مهندس البترول,m,El Ingeniero de Petróleo,m
The Drafter,الصائغ,m,El Dibujante,m
The Mechanical Drafter,الصائغ الميكانيكي,m,El dibujante mecánico,m
The Life Scientist,عالم الحياة,m,El científico de la vida,m
The Animal Scientist,عالم الحيوان,m,El científico animal,m
The Biological Scientist,العالم البيولوجي,m,El científico biológico,m
The Microbiologist,عالم الأحياء الدقيقة,m,El Microbiólogo,m
The Conservation Scientist,عالم الحفظ,m,El científico de la conservación,m
The Forester,ذا فورستر,m,El Guardabosques,m
The Medical Scientist,عالم الطب,m,El científico médico,m
The Epidemiologist,عالم الأوبئة,m,El epidemiólogo,m
The Physical Scientist,عالم الفيزياء,m,El científico físico,m
The Astronomer,عالم الفلك,m,El astrónomo,m
