The Occupation title (click on the occupation title to view its profile),عنوان المهنة (انقر على عنوان المهنة لعرض ملف التعريف الخاص بها)
The All Occupation,ذا أوول أوكلبونت
The Management Occupation,مهنة الإدارة
The Top Executive,المدير التنفيذي الأعلى
The Chief Executive,الرئيس التنفيذي
The Legislator,المشرّع
The Marketing Manager,مدير التسويق
The Sales Manager,مدير المبيعات
The Public Relations Manager,مدير العلاقات العامة
The Fundraising Manager,مدير جمع التبرعات
The Operations Specialties Manager,مدير تخصصات العمليات
The Administrative Services Manager,مدير الخدمات الإدارية
The Facilities Manager,مدير المرافق
The Financial Manager,المدير المالي
The Industrial Production Manager,مدير الإنتاج الصناعي
The Purchasing Manager,مدير المشتريات
The Human Resources Manager,مدير الموارد البشرية
The Other Management Occupation,مهنة الإدارة الأخرى
The Construction Manager,مدير البناء
The Food Service Manager,مدير خدمات الطعام
The Gambling Manager,مدير المقامرة
The Lodging Manager,مدير الإقامة
The Natural Sciences Manager,مدير العلوم الطبيعية
The Emergency Management Director,مدير إدارة الطوارئ
The Personal Service Manager,مدير الخدمة الشخصية
The Funeral Home Manager,مدير منزل الجنازة
The Business Operations Specialist,أخصائي العمليات التجارية
The Compliance Officer,مسؤول الامتثال
The Cost Estimator,مقدر التكلفة
The Human Resources Worker,عامل الموارد البشرية
The Human Resources Specialist,أخصائي الموارد البشرية
The Farm Labor Contractor,مقاول العمالة الزراعية
The Labor Relations Specialist,أخصائي علاقات العمل
The Logistician,ذا لوجيستيان
The Project Management Specialist,أخصائي إدارة المشاريع
The Management Analyst,محلل الإدارة
The Fundraiser,جامع التبرعات
The Financial Specialist,الأخصائي المالي
The Budget Analyst,محلل الميزانية
The Credit Analyst,محلل الائتمان
The Personal Financial Advisor,المستشار المالي الشخصي
The Insurance Underwriter,مكتتب التأمين
The Financial Risk Specialist,أخصائي المخاطر المالية
The Financial Examiner,الفاحص المالي
The Credit Counselor,مستشار الائتمان
The Loan Officer,موظف القرض
The Tax Preparer,مُعد الضرائب
The Computer Occupation,مهنة الكمبيوتر
The Computer Systems Analyst,محلل أنظمة الكمبيوتر
The Information Security Analyst,محلل أمن المعلومات
The Computer Support Specialist,أخصائي دعم الكمبيوتر
The Computer Network Support Specialist,أخصائي دعم شبكات الكمبيوتر
The Computer User Support Specialist,أخصائي دعم مستخدمي الكمبيوتر
The Computer Network Architect,مهندس شبكة الكمبيوتر
The Database Administrator,مسؤول قاعدة البيانات
The Database Architect,مهندس قاعدة البيانات
The Computer Programmer,مبرمج الكمبيوتر
The Software Developer,مطور البرامج
The Web Developer,مطور الويب
The Mathematical Science Occupation,مهنة العلوم الرياضية
The Actuarie,ذا أكتواري
The Mathematician,عالم الرياضيات
The Operations Research Analyst,محلل أبحاث العمليات
The Statistician,ذا ستاتيستيان
The Data Scientist,عالم البيانات
The Surveyor,ذا سيرفيور
The Engineer,المهندس
The Aerospace Engineer,مهندس الفضاء
The Agricultural Engineer,المهندس الزراعي
The Chemical Engineer,المهندس الكيميائي
The Civil Engineer,المهندس المدني
The Computer Hardware Engineer,مهندس أجهزة الكمبيوتر
The Electrical Engineer,المهندس الكهربائي
The Environmental Engineer,المهندس البيئي
The Industrial Engineer,المهندس الصناعي
The Materials Engineer,مهندس المواد
The Mechanical Engineer,المهندس الميكانيكي
The Nuclear Engineer,المهندس النووي
The Petroleum Engineer,مهندس البترول
The Drafter,ذا كرافتر
The Mechanical Drafter,الصياغة الميكانيكية
The Life Scientist,ذا لايف ساينتست
The Animal Scientist,ذا أنيمال ساينتست
The Biological Scientist,عالم الأحياء
The Microbiologist,عالم الميكروبيولوجيا
The Conservation Scientist,عالم الحفظ
The Forester,ذا فوريستر
The Medical Scientist,ذا ميديكال ساينتست
The Epidemiologist,عالم الأوبئة
The Physical Scientist,ذا فيزيكال ساينتست
The Astronomer,ذا استرومينت
The Physicist,ذا فيسيست
The Chemist,ذا كيميست
The Materials Scientist,عالم المواد
The Hydrologist,عالم الهيدرولوجيا
The Economist,ذي إيكونومست
The Survey Researcher,باحث المسح
The Psychologist,عالم النفس
The Industrial-Organizational Psychologist,عالم النفس الصناعي والتنظيمي
The School Psychologist,عالم النفس المدرسي
The Sociologist,عالم الاجتماع
The Geographer,ذا جيوغرافيك
The Historian,المؤرخ
The Political Scientist,عالم السياسة
The Agricultural Technician,الفني الزراعي
The Food Science Technician,فني علوم الغذاء
The Biological Technician,فني بيولوجي
The Chemical Technician,فني كيميائي
The Hydrologic Technician,فني الهيدرولوجيا
The Nuclear Technician,فني الطاقة النووية
The Social Science Research Assistant,مساعد أبحاث العلوم الاجتماعية
The Forensic Science Technician,فني علوم الطب الشرعي
The Counselor,المستشار
The Rehabilitation Counselor,مستشار إعادة التأهيل
The Social Worker,الأخصائي الاجتماعي
The Healthcare Social Worker,الأخصائي الاجتماعي للرعاية الصحية
The Health Education Specialist,أخصائي التثقيف الصحي
The Community Health Worker,عامل صحة المجتمع
The Religious Worker,العامل الديني
The Clergy,ذا كليروس
The Legal Occupation,الاحتلال القانوني
The Lawyer,المحامي
The Judicial Law Clerk,كاتب القانون القضائي
The Legal Support Worker,عامل الدعم القانوني
The Miscellaneous Legal Support Worker,عامل الدعم القانوني المتنوع
The Postsecondary Teacher,معلم ما بعد المرحلة الثانوية
The Miscellaneous Postsecondary Teacher,مدرس ما بعد المرحلة الثانوية المتنوع
The Secondary School Teacher,معلم المدرسة الثانوية
The Special Education Teacher,معلم التربية الخاصة
The Self-Enrichment Teacher,معلم الإثراء الذاتي
The Tutor,ذا توتور
The Archivist,موظف الأرشيف
The Curator,ذا كيوريتور
The Library Technician,فني المكتبة
The Instructional Coordinator,المنسق التعليمي
The Teaching Assistant,مساعد التدريس
The Art Director,المدير الفني
The Craft Artist,ذا كرافت أرتيست
The Designer,ذا ديزاينر
The Fashion Designer,مصمم الأزياء
The Floral Designer,مصمم الأزهار
The Graphic Designer,مصمم الجرافيك
The Interior Designer,المصمم الداخلي
The Actor,ذا فاكتور
The Dancer,ذا دانسر
The Choreographer,مصمم رقصات
The Public Relations Specialist,أخصائي العلاقات العامة
The Editor,المحرر
The Technical Writer,الكاتب التقني
The Broadcast Technician,فني البث
The Sound Engineering Technician,فني هندسة الصوت
The Lighting Technician,فني الإضاءة
The Photographer,ذا فوتوغرافي
The Healthcare Diagnosing or Treating Practitioner,ممارس تشخيص أو علاج الرعاية الصحية
The Chiropractor,المعالج بتقويم العمود الفقري
The Dentist,طبيب الأسنان
The Orthodontist,أخصائي تقويم الأسنان
The Prosthodontist,أخصائي التعويضات السنية
The Optometrist,طبيب العيون
The Pharmacist,الصيدلي
The Physician Assistant,مساعد الطبيب
The Podiatrist,طبيب الأقدام
The Therapist,المعالج
The Occupational Therapist,المعالج المهني
The Physical Therapist,المعالج الفيزيائي
The Radiation Therapist,المعالج الإشعاعي
The Recreational Therapist,المعالج الترفيهي
The Respiratory Therapist,معالج الجهاز التنفسي
The Speech-Language Pathologist,أخصائي أمراض النطق واللغة
The Exercise Physiologist,أخصائي فيزيولوجيا التمارين
The Veterinarian,الطبيب البيطري
The Registered Nurse,الممرضة المسجلة
The Nurse Anesthetist,ممرضة التخدير
The Nurse Midwive,القابلة الممرضة
The Nurse Practitioner,الممرضة الممارس
The Audiologist,أخصائي السمعيات
The Physician,ذا فيسيشيين
The Anesthesiologist,طبيب التخدير
The Cardiologist,طبيب القلب
The Dermatologist,طبيب الأمراض الجلدية
The Emergency Medicine Physician,طبيب طب الطوارئ
The Family Medicine Physician,طبيب طب الأسرة
The General Internal Medicine Physician,طبيب الطب الباطني العام
