The Occupation title (click on the occupation title to view its profile),El título de la ocupación (haga clic en el título de la ocupación para ver su perfil)
The All Occupation,toda la ocupación
The Management Occupation,La ocupación gerencial
The Top Executive,El alto ejecutivo
The Chief Executive,El jefe ejecutivo
The Legislator,el legislador
The Marketing Manager,El Gerente de Mercadeo
The Sales Manager,El gerente de ventas
The Public Relations Manager,El Gerente de Relaciones Públicas
The Fundraising Manager,El gerente de recaudación de fondos
The Operations Specialties Manager,El Gerente de Especialidades de Operaciones
The Administrative Services Manager,El Gerente de Servicios Administrativos
The Facilities Manager,El Gerente de Instalaciones
The Financial Manager,El Gerente Financiero
The Industrial Production Manager,El Gerente de Producción Industrial
The Purchasing Manager,El Gerente de Compras
The Human Resources Manager,El Gerente de Recursos Humanos
The Other Management Occupation,La otra ocupación de gestión
The Construction Manager,El Gerente de Construcción
The Food Service Manager,El gerente del servicio de alimentos
The Gambling Manager,El gerente de juego
The Lodging Manager,El Gerente de Alojamiento
The Natural Sciences Manager,El Gerente de Ciencias Naturales
The Emergency Management Director,El Director de Manejo de Emergencias
The Personal Service Manager,El administrador de servicios personales
The Funeral Home Manager,El gerente de la funeraria
The Business Operations Specialist,El especialista en operaciones comerciales
The Compliance Officer,El Oficial de Cumplimiento
The Cost Estimator,El estimador de costos
The Human Resources Worker,El trabajador de recursos humanos
The Human Resources Specialist,El especialista en recursos humanos
The Farm Labor Contractor,El contratista de mano de obra agrícola
The Labor Relations Specialist,El especialista en relaciones laborales
The Logistician,el logístico
The Project Management Specialist,El especialista en gestión de proyectos
The Management Analyst,El analista de gestión
The Fundraiser,El recaudador de fondos
The Financial Specialist,El especialista financiero
The Budget Analyst,El analista de presupuesto
The Credit Analyst,El analista de crédito
The Personal Financial Advisor,El asesor financiero personal
The Insurance Underwriter,El suscriptor de seguros
The Financial Risk Specialist,El especialista en riesgos financieros
The Financial Examiner,El examinador financiero
The Credit Counselor,El consejero de crédito
The Loan Officer,El oficial de préstamo
The Tax Preparer,El preparador de impuestos
The Computer Occupation,La ocupación de la computadora
The Computer Systems Analyst,El analista de sistemas informáticos
The Information Security Analyst,El analista de seguridad de la información
The Computer Support Specialist,El especialista en soporte informático
The Computer Network Support Specialist,El especialista en soporte de redes informáticas
The Computer User Support Specialist,El especialista en soporte para usuarios de computadoras
The Computer Network Architect,El arquitecto de redes informáticas
The Database Administrator,El administrador de la base de datos
The Database Architect,El arquitecto de la base de datos
The Computer Programmer,El programador de computadoras
The Software Developer,El desarrollador de software
The Web Developer,El desarrollador web
The Mathematical Science Occupation,La ocupación de las ciencias matemáticas
The Actuarie,el actuario
The Mathematician,el matematico
The Operations Research Analyst,El analista de investigación de operaciones
The Statistician,el estadístico
The Data Scientist,El científico de datos
The Surveyor,el agrimensor
The Engineer,El ingeniero
The Aerospace Engineer,El ingeniero aeroespacial
The Agricultural Engineer,El Ingeniero Agrónomo
The Chemical Engineer,el ingeniero quimico
The Civil Engineer,el ingeniero civil
The Computer Hardware Engineer,El ingeniero de hardware informático
The Electrical Engineer,el ingeniero eléctrico
The Environmental Engineer,El ingeniero ambiental
The Industrial Engineer,el ingeniero industrial
