The Occupation title (click on the occupation title to view its profile),عنوان المهنة (انقر على عنوان المهنة لعرض ملف التعريف الخاص بها),ar_val
The All Occupation,ذا أوول أوكلبونت,
The Management Occupation,مهنة الإدارة,
The Top Executive,المدير التنفيذي الأعلى,m
The Chief Executive,الرئيس التنفيذي,m
The Legislator,المشرّع,m
The Marketing Manager,مدير التسويق,m
The Sales Manager,مدير المبيعات,m
The Public Relations Manager,مدير العلاقات العامة,m
The Fundraising Manager,مدير جمع التبرعات,m
The Operations Specialties Manager,مدير تخصصات العمليات,m
The Administrative Services Manager,مدير الخدمات الإدارية,m
The Facilities Manager,مدير المرافق,m
The Financial Manager,المدير المالي,m
The Industrial Production Manager,مدير الإنتاج الصناعي,m
The Purchasing Manager,مدير المشتريات,m
The Human Resources Manager,مدير الموارد البشرية,m
The Other Management Occupation,مهنة الإدارة الأخرى,m
The Construction Manager,مدير البناء,m
The Food Service Manager,مدير خدمات الطعام,m
The Gambling Manager,مدير المقامرة,m
The Lodging Manager,مدير الإقامة,m
The Natural Sciences Manager,مدير العلوم الطبيعية,m
The Emergency Management Director,مدير إدارة الطوارئ,m
The Personal Service Manager,مدير الخدمة الشخصية,m
The Funeral Home Manager,مدير منزل الجنازة,m
The Business Operations Specialist,أخصائي العمليات التجارية,m
The Compliance Officer,مسؤول الامتثال,m
The Cost Estimator,مقدر التكلفة,m
The Human Resources Worker,عامل الموارد البشرية,m
The Human Resources Specialist,أخصائي الموارد البشرية,m
The Farm Labor Contractor,مقاول العمالة الزراعية,m
The Labor Relations Specialist,أخصائي علاقات العمل,m
The Logistician,ذا لوجيستيان,
The Project Management Specialist,أخصائي إدارة المشاريع,m
The Management Analyst,محلل الإدارة,m
The Fundraiser,جامع التبرعات,m
The Financial Specialist,الأخصائي المالي,m
The Budget Analyst,محلل الميزانية,m
The Credit Analyst,محلل الائتمان,m
The Personal Financial Advisor,المستشار المالي الشخصي,m
The Insurance Underwriter,مكتتب التأمين,m
The Financial Risk Specialist,أخصائي المخاطر المالية,m
The Financial Examiner,الفاحص المالي,m
The Credit Counselor,مستشار الائتمان,m
The Loan Officer,موظف القرض,m
The Tax Preparer,مُعد الضرائب,m
The Computer Occupation,مهنة الكمبيوتر,m
The Computer Systems Analyst,محلل أنظمة الكمبيوتر,m
The Information Security Analyst,محلل أمن المعلومات,m
The Computer Support Specialist,أخصائي دعم الكمبيوتر,m
The Computer Network Support Specialist,أخصائي دعم شبكات الكمبيوتر,m
The Computer User Support Specialist,أخصائي دعم مستخدمي الكمبيوتر,m
The Computer Network Architect,مهندس شبكة الكمبيوتر,m
The Database Administrator,مسؤول قاعدة البيانات,m
The Database Architect,مهندس قاعدة البيانات,m
The Computer Programmer,مبرمج الكمبيوتر,m
The Software Developer,مطور البرامج,m
The Web Developer,مطور الويب,m
The Mathematical Science Occupation,مهنة العلوم الرياضية,
The Actuarie,ذا أكتواري,
The Mathematician,عالم الرياضيات,m
The Operations Research Analyst,محلل أبحاث العمليات,m
The Statistician,ذا ستاتيستيان,
The Data Scientist,عالم البيانات,m
The Surveyor,ذا سيرفيور,
The Engineer,المهندس,m
The Aerospace Engineer,مهندس الفضاء,m
The Agricultural Engineer,المهندس الزراعي,m
The Chemical Engineer,المهندس الكيميائي,m
The Civil Engineer,المهندس المدني,m
The Computer Hardware Engineer,مهندس أجهزة الكمبيوتر,m
The Electrical Engineer,المهندس الكهربائي,m
The Environmental Engineer,المهندس البيئي,m
The Industrial Engineer,المهندس الصناعي,m
The Materials Engineer,مهندس المواد,m
The Mechanical Engineer,المهندس الميكانيكي,m
The Nuclear Engineer,المهندس النووي,m
The Petroleum Engineer,مهندس البترول,m
The Drafter,ذا كرافتر,
The Mechanical Drafter,الصياغة الميكانيكية,
The Life Scientist,ذا لايف ساينتست,
The Animal Scientist,ذا أنيمال ساينتست,
The Biological Scientist,عالم الأحياء,m
The Microbiologist,عالم الميكروبيولوجيا,m
The Conservation Scientist,عالم الحفظ,m
