The Occupation title (click on the occupation title to view its profile),عنوان المهنة (انقر فوق عنوان المهنة لعرض ملفها الشخصي)
The All Occupation,كل الاحتلال
The Management Occupation,الاحتلال الإداري
The Top Executive,المدير التنفيذي الأعلى
The Chief Executive,الرئيس التنفيذي
The Legislator,المشرع
The Marketing Manager,مدير التسويق
The Sales Manager,انه مدير المبيعات
The Public Relations Manager,مدير العلاقات العامة
The Fundraising Manager,مدير جمع التبرعات
The Operations Specialties Manager,مدير تخصصات العمليات
The Administrative Services Manager,مدير الخدمات الإدارية
The Facilities Manager,مدير المرافق
The Financial Manager,المدير المالي
The Industrial Production Manager,مدير الإنتاج الصناعي
The Purchasing Manager,مدير المشتريات
The Human Resources Manager,مدير الموارد البشرية
The Other Management Occupation,مهنة الإدارة الأخرى
The Construction Manager,مدير البناء
The Food Service Manager,مدير خدمة الطعام
The Gambling Manager,مدير القمار
The Lodging Manager,مدير السكن
The Natural Sciences Manager,مدير العلوم الطبيعية
The Emergency Management Director,مدير إدارة الطوارئ
The Personal Service Manager,مدير الخدمة الشخصية
The Funeral Home Manager,مدير دار الجنازة
The Business Operations Specialist,أخصائي عمليات الأعمال
The Compliance Officer,ضابط الامتثال
The Cost Estimator,مقدر التكلفة
The Human Resources Worker,عامل الموارد البشرية
The Human Resources Specialist,أخصائي الموارد البشرية
The Farm Labor Contractor,مقاول عمل المزرعة
The Labor Relations Specialist,أخصائي علاقات العمل
The Logistician,اللوجيستي
The Project Management Specialist,أخصائي إدارة المشروع
The Management Analyst,محلل الإدارة
The Fundraiser,جامع التبرعات
The Financial Specialist,الخبير المالي
The Budget Analyst,محلل الميزانية
The Credit Analyst,محلل الائتمان
The Personal Financial Advisor,المستشار المالي الشخصي
The Insurance Underwriter,وكيل التأمين
The Financial Risk Specialist,أخصائي المخاطر المالية
The Financial Examiner,الممتحن المالي
The Credit Counselor,مستشار الائتمان
The Loan Officer,ضابط القرض
The Tax Preparer,اعداد الضرائب
The Computer Occupation,احتلال الكمبيوتر
The Computer Systems Analyst,محلل أنظمة الحاسوب
The Information Security Analyst,محلل أمن المعلومات
The Computer Support Specialist,أخصائي دعم الكمبيوتر
