,The Occupation title (click on the occupation title to view its profile)
1,The All Occupation
2,The Management Occupation
3,The Top Executive
4,The Chief Executive
5,The General and Operations Manager
6,The Legislator
7,"The Advertising, Marketing, Promotions, Public Relations, and Sales Manager"
8,The Advertising and Promotions Manager
9,The Marketing and Sales Manager
10,The Marketing Manager
11,The Sales Manager
12,The Public Relations and Fundraising Manager
13,The Public Relations Manager
14,The Fundraising Manager
15,The Operations Specialties Manager
16,The Administrative Services and Facilities Manager
17,The Administrative Services Manager
18,The Facilities Manager
19,The Computer and Information Systems Manager
20,The Financial Manager
21,The Industrial Production Manager
22,The Purchasing Manager
23,"The Transportation, Storage, and Distribution Manager"
24,The Compensation and Benefits Manager
25,The Human Resources Manager
26,The Training and Development Manager
27,The Other Management Occupation
28,"The Farmers, Ranchers, and Other Agricultural Manager"
29,The Construction Manager
30,The Education and Childcare Administrator
31,"The Education and Childcare Administrators, Preschool and Daycare"
32,"The Education Administrators, Kindergarten through Secondary"
33,"The Education Administrators, Postsecondary"
34,The Education Administrator
35,The Architectural and Engineering Manager
36,The Food Service Manager
37,The Entertainment and Recreation Manager
38,The Gambling Manager
39,"The Entertainment and Recreation Managers, Except Gambling"
40,The Lodging Manager
41,The Medical and Health Services Manager
42,The Natural Sciences Manager
43,The Postmasters and Mail Superintendent
44,"The Property, Real Estate, and Community Association Manager"
45,The Social and Community Service Manager
46,The Emergency Management Director
47,The Personal Service Manager
48,The Funeral Home Manager
49,The Personal Service Manager
50,The Manager
51,The Business and Financial Operations Occupation
52,The Business Operations Specialist
53,"The Agents and Business Managers of Artists, Performers, and Athlete"
54,The Buyers and Purchasing Agent
55,"The Claims Adjusters, Appraisers, Examiners, and Investigator"
56,"The Claims Adjusters, Examiners, and Investigator"
57,"The Insurance Appraisers, Auto Damage"
58,The Compliance Officer
59,The Cost Estimator
60,The Human Resources Worker
61,The Human Resources Specialist
62,The Farm Labor Contractor
63,The Labor Relations Specialist
64,The Logisticians and Project Management Specialist
65,The Logistician
66,The Project Management Specialist
67,The Management Analyst
68,"The Meeting, Convention, and Event Planner"
69,The Fundraiser
70,"The Compensation, Benefits, and Job Analysis Specialist"
71,The Training and Development Specialist
72,The Market Research Analysts and Marketing Specialist
73,The Business Operations Specialist
74,The Financial Specialist
75,The Accountants and Auditor
76,The Property Appraisers and Assessor
77,The Budget Analyst
78,The Credit Analyst
79,The Financial Analysts and Advisor
80,The Financial and Investment Analyst
