Occupation title (click on the occupation title to view its profile),عنوان المهنة (انقر على عنوان الاحتلال لعرض ملفه الشخصي)
All Occupations,جميع المهن
Management Occupations,المهن الإدارية
Top Executives,كبار المسؤولين التنفيذيين
Chief Executives,التنفيذيين
General and Operations Managers,المدراء العامون ومديرو العمليات
Legislators,المشرعين
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",مديرو الإعلانات والتسويق والعروض الترويجية والعلاقات العامة والمبيعات
Advertising and Promotions Managers,مدراء الإعلانات والعروض الترويجية
Marketing and Sales Managers,مدراء التسويق والمبيعات
Marketing Managers,مدراء التسويق
Sales Managers,مدراء المبيعات
Public Relations and Fundraising Managers,مدراء العلاقات العامة وجمع التبرعات
Public Relations Managers,مدراء العلاقات العامة
Fundraising Managers,مديرو جمع التبرعات
Operations Specialties Managers,مدراء تخصصات العمليات
Administrative Services and Facilities Managers,مدراء الخدمات الإدارية والمرافق
Administrative Services Managers,مدراء الخدمات الإدارية
Facilities Managers,مدراء المرافق
Computer and Information Systems Managers,مدراء الحاسب الآلي ونظم المعلومات
Financial Managers,المدراء الماليون
Industrial Production Managers,مدراء الإنتاج الصناعي
Purchasing Managers,مدراء المشتريات
"Transportation, Storage, and Distribution Managers",مديرو النقل والتخزين والتوزيع
Compensation and Benefits Managers,مديرو التعويضات والمزايا
Human Resources Managers,مدراء الموارد البشرية
Training and Development Managers,مدراء التدريب والتطوير
Other Management Occupations,مهن إدارية أخرى
"Farmers, Ranchers, and Other Agricultural Managers",المزارعون ومربو الماشية وغيرهم من المديرين الزراعيين
Construction Managers,مدراء الإنشاءات
Education and Childcare Administrators,مديرو التعليم ورعاية الأطفال
"Education and Childcare Administrators, Preschool and Daycare",مديرو التعليم ورعاية الأطفال، مرحلة ما قبل المدرسة والرعاية النهارية
"Education Administrators, Kindergarten through Secondary",مديرو التعليم، من رياض الأطفال حتى المرحلة الثانوية
"Education Administrators, Postsecondary",مديرو التعليم، ما بعد المرحلة الثانوية
"Education Administrators, All Other",مسؤولو التعليم، كل ما عدا ذلك
Architectural and Engineering Managers,المدراء المعماريون والهندسيون
Food Service Managers,مدراء الخدمات الغذائية
Entertainment and Recreation Managers,مديرو الترفيه والاستجمام
Gambling Managers,مدراء المقامرة
"Entertainment and Recreation Managers, Except Gambling",مديرو الترفيه والاستجمام، باستثناء المقامرة
Lodging Managers,مديرو السكن
Medical and Health Services Managers,مدراء الخدمات الطبية والصحية
Natural Sciences Managers,مدراء العلوم الطبيعية
